id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1689,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
4274,Adelie,Torgersen,NA,17.4,186,3800,female,2007
4539,Adelie,Torgersen,40.3,18,195,3250,female,2007
2435,Adelie,Torgersen,36.7,19.3,193,3450,female,2007
2326,Adelie,Torgersen,39.3,20.6,190,3650,male,2007
2637,Adelie,Torgersen,38.9,17.8,181,3625,female,2007
4443,Adelie,Torgersen,NA,19.6,195,4675,male,2007
2102,Adelie,Torgersen,34.1,18.1,193,3475,NA,2007
2975,Adelie,Torgersen,42,20.2,190,4250,NA,2007
3966,Adelie,Torgersen,37.8,17.1,186,3300,NA,2007
4648,Adelie,Torgersen,37.8,17.3,180,3700,NA,2007
2887,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
4939,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
2849,Adelie,Torgersen,34.6,21.1,198,4400,male,2007
4743,Adelie,Torgersen,36.6,17.8,185,3700,female,2007
4573,Adelie,Torgersen,38.7,19,195,3450,female,2007
1669,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
4953,Adelie,Torgersen,34.4,18.4,184,3325,female,2007
4856,Adelie,Torgersen,46,21.5,194,4200,male,2007
4927,Adelie,Biscoe,37.8,18.3,174,3400,female,2007
3624,Adelie,Biscoe,37.7,18.7,180,3600,male,2007
2144,Adelie,Biscoe,35.9,19.2,189,3800,female,2007
4359,Adelie,Biscoe,38.2,18.1,185,3950,male,2007
4635,Adelie,Biscoe,38.8,17.2,180,3800,male,2007
4969,Adelie,Biscoe,35.3,18.9,187,3800,female,2007
4383,Adelie,Biscoe,40.6,18.6,183,3550,male,2007
1900,Adelie,Biscoe,40.5,17.9,187,3200,female,2007
4250,Adelie,Biscoe,37.9,18.6,172,3150,female,2007
1076,Adelie,Biscoe,40.5,18.9,180,3950,male,2007
1320,Adelie,Dream,39.5,16.7,178,3250,female,2007
2594,Adelie,Dream,37.2,18.1,178,3900,male,2007
2767,Adelie,Dream,39.5,17.8,188,3300,female,2007
4382,Adelie,Dream,40.9,18.9,184,3900,male,2007
4483,Adelie,Dream,36.4,17,195,3325,female,2007
1319,Adelie,Dream,39.2,21.1,196,4150,male,2007
2533,Adelie,Dream,38.8,20,190,3950,male,2007
3829,Adelie,Dream,NA,18.5,180,3550,female,2007
4625,Adelie,Dream,37.6,19.3,181,3300,female,2007
3260,Adelie,Dream,39.8,19.1,184,4650,male,2007
4561,Adelie,Dream,36.5,18,182,3150,female,2007
3859,Adelie,Dream,40.8,18.4,195,3900,male,2007
1982,Adelie,Dream,36,18.5,186,3100,female,2007
1823,Adelie,Dream,44.1,19.7,196,4400,male,2007
4598,Adelie,Dream,37,16.9,185,3000,female,2007
1278,Adelie,Dream,39.6,18.8,190,4600,male,2007
2013,Adelie,Dream,41.1,19,182,3425,male,2007
2209,Adelie,Dream,37.5,18.9,179,2975,NA,2007
3655,Adelie,Dream,36,17.9,190,3450,female,2007
2235,Adelie,Dream,42.3,21.2,191,4150,male,2007
2306,Adelie,Biscoe,39.6,17.7,186,3500,female,2008
4604,Adelie,Biscoe,40.1,18.9,188,4300,male,2008
2891,Adelie,Biscoe,35,17.9,190,3450,female,2008
3443,Adelie,Biscoe,42,19.5,200,4050,male,2008
3460,Adelie,Biscoe,34.5,18.1,187,2900,female,2008
2918,Adelie,Biscoe,41.4,18.6,191,3700,male,2008
3749,Adelie,Biscoe,39,17.5,186,3550,female,2008
4822,Adelie,Biscoe,40.6,18.8,193,3800,male,2008
1593,Adelie,Biscoe,36.5,16.6,181,2850,female,2008
3548,Adelie,Biscoe,37.6,19.1,194,3750,male,2008
1137,Adelie,Biscoe,35.7,16.9,185,3150,female,2008
1306,Adelie,Biscoe,41.3,21.1,195,4400,male,2008
4644,Adelie,Biscoe,37.6,17,185,3600,female,2008
3187,Adelie,Biscoe,41.1,18.2,192,4050,male,2008
2061,Adelie,Biscoe,36.4,17.1,184,2850,female,2008
4727,Adelie,Biscoe,41.6,18,192,3950,male,2008
2609,Adelie,Biscoe,35.5,16.2,195,3350,female,2008
2929,Adelie,Biscoe,41.1,19.1,188,4100,male,2008
3516,Adelie,Torgersen,35.9,16.6,190,3050,female,2008
3636,Adelie,Torgersen,41.8,19.4,198,4450,male,2008
2436,Adelie,Torgersen,33.5,19,190,3600,female,2008
4347,Adelie,Torgersen,39.7,18.4,190,3900,male,2008
2119,Adelie,Torgersen,39.6,17.2,196,3550,female,2008
3353,Adelie,Torgersen,45.8,18.9,197,4150,male,2008
4161,Adelie,Torgersen,35.5,17.5,190,3700,female,2008
2573,Adelie,Torgersen,42.8,18.5,195,4250,male,2008
3206,Adelie,Torgersen,40.9,16.8,191,3700,female,2008
1815,Adelie,Torgersen,37.2,19.4,184,3900,male,2008
2256,Adelie,Torgersen,36.2,16.1,187,3550,female,2008
1361,Adelie,Torgersen,42.1,19.1,195,4000,male,2008
4351,Adelie,Torgersen,34.6,17.2,189,3200,female,2008
4731,Adelie,Torgersen,42.9,17.6,196,4700,male,2008
4267,Adelie,Torgersen,36.7,18.8,187,3800,female,2008
4074,Adelie,Torgersen,35.1,19.4,193,4200,male,2008
2117,Adelie,Dream,37.3,17.8,191,3350,female,2008
2908,Adelie,Dream,41.3,20.3,194,3550,male,2008
4904,Adelie,Dream,NA,19.5,190,3800,male,2008
3335,Adelie,Dream,36.9,18.6,189,3500,female,2008
2842,Adelie,Dream,38.3,19.2,189,3950,male,2008
1001,Adelie,Dream,38.9,18.8,190,3600,female,2008
3592,Adelie,Dream,35.7,18,202,3550,female,2008
1308,Adelie,Dream,41.1,18.1,205,4300,male,2008
4287,Adelie,Dream,34,17.1,185,3400,female,2008
1289,Adelie,Dream,39.6,18.1,186,4450,male,2008
2874,Adelie,Dream,36.2,17.3,187,3300,female,2008
3783,Adelie,Dream,40.8,18.9,208,4300,male,2008
4751,Adelie,Dream,38.1,18.6,190,3700,female,2008
1475,Adelie,Dream,40.3,18.5,196,4350,male,2008
4557,Adelie,Dream,33.1,16.1,178,2900,female,2008
3681,Adelie,Dream,43.2,18.5,192,4100,male,2008
2506,Adelie,Biscoe,35,17.9,192,3725,female,2009
3390,Adelie,Biscoe,41,20,203,4725,male,2009
1077,Adelie,Biscoe,37.7,16,183,3075,female,2009
4297,Adelie,Biscoe,37.8,20,190,4250,male,2009
4698,Adelie,Biscoe,37.9,18.6,193,2925,female,2009
3726,Adelie,Biscoe,39.7,18.9,184,3550,male,2009
2088,Adelie,Biscoe,38.6,17.2,199,3750,female,2009
1906,Adelie,Biscoe,38.2,20,190,3900,male,2009
1872,Adelie,Biscoe,38.1,17,181,3175,female,2009
1010,Adelie,Biscoe,43.2,19,197,4775,male,2009
3511,Adelie,Biscoe,38.1,16.5,198,3825,female,2009
2230,Adelie,Biscoe,45.6,20.3,191,4600,male,2009
1345,Adelie,Biscoe,39.7,17.7,193,3200,female,2009
3225,Adelie,Biscoe,42.2,19.5,197,4275,male,2009
3994,Adelie,Biscoe,39.6,20.7,191,3900,female,2009
2981,Adelie,Biscoe,42.7,18.3,196,4075,male,2009
1400,Adelie,Torgersen,38.6,17,188,2900,female,2009
3768,Adelie,Torgersen,37.3,20.5,199,3775,male,2009
4101,Adelie,Torgersen,35.7,17,189,3350,female,2009
3355,Adelie,Torgersen,41.1,18.6,189,3325,male,2009
3200,Adelie,Torgersen,36.2,17.2,187,3150,female,2009
3895,Adelie,Torgersen,37.7,19.8,198,3500,male,2009
1017,Adelie,Torgersen,40.2,17,176,3450,female,2009
1550,Adelie,Torgersen,41.4,18.5,202,3875,male,2009
2685,Adelie,Torgersen,35.2,15.9,186,3050,female,2009
1627,Adelie,Torgersen,40.6,19,199,4000,male,2009
2210,Adelie,Torgersen,38.8,17.6,191,3275,female,2009
1809,Adelie,Torgersen,41.5,18.3,195,4300,male,2009
4257,Adelie,Torgersen,39,17.1,191,3050,female,2009
3805,Adelie,Torgersen,44.1,18,210,4000,male,2009
4404,Adelie,Torgersen,38.5,17.9,190,3325,female,2009
1088,Adelie,Torgersen,43.1,19.2,197,3500,male,2009
3707,Adelie,Dream,36.8,18.5,193,3500,female,2009
1651,Adelie,Dream,37.5,18.5,199,4475,male,2009
1745,Adelie,Dream,38.1,17.6,187,3425,female,2009
1783,Adelie,Dream,41.1,17.5,190,3900,male,2009
3019,Adelie,Dream,35.6,17.5,191,3175,female,2009
2308,Adelie,Dream,40.2,20.1,200,3975,male,2009
1111,Adelie,Dream,37,16.5,185,3400,female,2009
4537,Adelie,Dream,39.7,17.9,193,4250,male,2009
2870,Adelie,Dream,40.2,17.1,193,3400,female,2009
3236,Adelie,Dream,40.6,17.2,187,3475,male,2009
4401,Adelie,Dream,32.1,15.5,188,3050,female,2009
2569,Adelie,Dream,40.7,17,190,3725,male,2009
4780,Adelie,Dream,37.3,16.8,192,3000,female,2009
4353,Adelie,Dream,39,18.7,185,3650,male,2009
1351,Adelie,Dream,39.2,18.6,190,4250,male,2009
2505,Adelie,Dream,36.6,18.4,184,3475,female,2009
4935,Adelie,Dream,NA,17.8,195,3450,female,2009
3265,Adelie,Dream,37.8,18.1,193,3750,male,2009
3416,Adelie,Dream,36,17.1,187,3700,female,2009
4145,Adelie,Dream,41.5,18.5,201,4000,male,2009
2608,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
1389,Gentoo,Biscoe,50,16.3,230,5700,male,2007
4840,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
4670,Gentoo,Biscoe,50,15.2,218,5700,male,2007
1924,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
4070,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
3118,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
4792,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
3037,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007
2892,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007
3757,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
1997,Gentoo,Biscoe,49,16.1,216,5550,male,2007
4128,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
1486,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
1945,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
4053,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
1893,Gentoo,Biscoe,42,13.5,210,4150,female,2007
2658,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
2171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
2986,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
2518,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
3537,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
2317,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
2125,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
4730,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
1640,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
1968,Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007
4619,Gentoo,Biscoe,47.8,15,215,5650,male,2007
3348,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007
2202,Gentoo,Biscoe,50,15.3,220,5550,male,2007
1974,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
2953,Gentoo,Biscoe,NA,14.2,209,4700,female,2007
2450,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
4026,Gentoo,Biscoe,59.6,17,230,6050,male,2007
1552,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008
3702,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
4652,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008
2293,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008
4370,Gentoo,Biscoe,44,13.6,208,4350,female,2008
3222,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
2472,Gentoo,Biscoe,42.7,13.7,208,3950,female,2008
3502,Gentoo,Biscoe,49.6,16,225,5700,male,2008
4086,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
4153,Gentoo,Biscoe,49.6,15,216,4750,male,2008
2043,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
1874,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
4231,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
2038,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
1930,Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
4715,Gentoo,Biscoe,45.2,15.8,215,5300,male,2008
2260,Gentoo,Biscoe,46.6,14.2,210,4850,female,2008
2446,Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
1704,Gentoo,Biscoe,45.1,14.4,210,4400,female,2008
2701,Gentoo,Biscoe,50.1,15,225,5000,male,2008
2334,Gentoo,Biscoe,46.5,14.4,217,4900,female,2008
1333,Gentoo,Biscoe,45,15.4,220,5050,male,2008
2168,Gentoo,Biscoe,43.8,13.9,208,4300,female,2008
4403,Gentoo,Biscoe,45.5,15,220,5000,male,2008
4185,Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
1677,Gentoo,Biscoe,50.4,15.3,224,5550,male,2008
1741,Gentoo,Biscoe,45.3,13.8,208,4200,female,2008
4043,Gentoo,Biscoe,46.2,14.9,221,5300,male,2008
2207,Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
4706,Gentoo,Biscoe,54.3,15.7,231,5650,male,2008
1660,Gentoo,Biscoe,45.8,14.2,219,4700,female,2008
3454,Gentoo,Biscoe,49.8,16.8,230,5700,male,2008
2290,Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008
3583,Gentoo,Biscoe,49.5,16.2,229,5800,male,2008
1682,Gentoo,Biscoe,43.5,14.2,220,4700,female,2008
2911,Gentoo,Biscoe,50.7,15,223,5550,male,2008
4562,Gentoo,Biscoe,47.7,15,216,4750,female,2008
1577,Gentoo,Biscoe,46.4,15.6,221,5000,male,2008
4819,Gentoo,Biscoe,48.2,15.6,221,5100,male,2008
2271,Gentoo,Biscoe,46.5,14.8,217,5200,female,2008
2468,Gentoo,Biscoe,46.4,15,216,4700,female,2008
3330,Gentoo,Biscoe,48.6,16,230,5800,male,2008
1813,Gentoo,Biscoe,47.5,14.2,209,4600,female,2008
4877,Gentoo,Biscoe,51.1,16.3,220,6000,male,2008
4172,Gentoo,Biscoe,45.2,13.8,215,4750,female,2008
2896,Gentoo,Biscoe,45.2,16.4,223,5950,male,2008
1329,Gentoo,Biscoe,49.1,14.5,212,4625,female,2009
3796,Gentoo,Biscoe,52.5,15.6,221,5450,male,2009
3015,Gentoo,Biscoe,47.4,14.6,212,4725,female,2009
4106,Gentoo,Biscoe,50,15.9,224,5350,male,2009
1471,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009
1342,Gentoo,Biscoe,50.8,17.3,228,5600,male,2009
4587,Gentoo,Biscoe,43.4,14.4,218,4600,female,2009
2762,Gentoo,Biscoe,51.3,14.2,218,5300,male,2009
1473,Gentoo,Biscoe,47.5,14,212,4875,female,2009
2837,Gentoo,Biscoe,52.1,17,230,5550,male,2009
1536,Gentoo,Biscoe,47.5,15,218,4950,female,2009
3094,Gentoo,Biscoe,52.2,17.1,228,5400,male,2009
3740,Gentoo,Biscoe,45.5,14.5,212,4750,female,2009
1133,Gentoo,Biscoe,49.5,16.1,224,5650,male,2009
1808,Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
3339,Gentoo,Biscoe,50.8,15.7,226,5200,male,2009
3798,Gentoo,Biscoe,49.4,15.8,216,4925,male,2009
1514,Gentoo,Biscoe,46.9,14.6,222,4875,female,2009
4580,Gentoo,Biscoe,48.4,14.4,203,4625,female,2009
3363,Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
1099,Gentoo,Biscoe,48.5,15,219,4850,female,2009
2415,Gentoo,Biscoe,55.9,17,228,5600,male,2009
4732,Gentoo,Biscoe,47.2,15.5,215,4975,female,2009
2777,Gentoo,Biscoe,49.1,15,228,5500,male,2009
4419,Gentoo,Biscoe,47.3,13.8,216,4725,NA,2009
3603,Gentoo,Biscoe,46.8,16.1,215,5500,male,2009
2996,Gentoo,Biscoe,41.7,14.7,210,4700,female,2009
3487,Gentoo,Biscoe,53.4,15.8,219,5500,male,2009
4253,Gentoo,Biscoe,43.3,14,208,4575,female,2009
2947,Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
1029,Gentoo,Biscoe,50.5,15.2,216,5000,female,2009
1241,Gentoo,Biscoe,49.8,15.9,229,5950,male,2009
3549,Gentoo,Biscoe,43.5,15.2,213,4650,female,2009
1652,Gentoo,Biscoe,51.5,16.3,230,5500,male,2009
3698,Gentoo,Biscoe,46.2,14.1,217,4375,female,2009
4629,Gentoo,Biscoe,55.1,16,230,5850,male,2009
2873,Gentoo,Biscoe,44.5,15.7,217,4875,NA,2009
4076,Gentoo,Biscoe,48.8,16.2,222,6000,male,2009
2097,Gentoo,Biscoe,47.2,13.7,214,4925,female,2009
3735,Gentoo,Biscoe,46.8,14.3,215,4850,female,2009
2179,Gentoo,Biscoe,50.4,15.7,222,5750,male,2009
3554,Gentoo,Biscoe,45.2,14.8,212,5200,female,2009
3087,Gentoo,Biscoe,49.9,16.1,213,5400,male,2009
3130,Chinstrap,Dream,46.5,17.9,192,3500,female,2007
2434,Chinstrap,Dream,50,19.5,196,3900,male,2007
3986,Chinstrap,Dream,51.3,19.2,193,3650,male,2007
1126,Chinstrap,Dream,45.4,18.7,188,3525,female,2007
3201,Chinstrap,Dream,52.7,19.8,197,3725,male,2007
4726,Chinstrap,Dream,45.2,17.8,198,3950,female,2007
1390,Chinstrap,Dream,46.1,18.2,178,3250,female,2007
3959,Chinstrap,Dream,51.3,18.2,197,3750,male,2007
1756,Chinstrap,Dream,46,18.9,195,4150,female,2007
1364,Chinstrap,Dream,51.3,19.9,198,3700,male,2007
4543,Chinstrap,Dream,46.6,17.8,193,3800,female,2007
4621,Chinstrap,Dream,51.7,20.3,194,3775,male,2007
2590,Chinstrap,Dream,47,17.3,185,3700,female,2007
3181,Chinstrap,Dream,52,18.1,201,4050,male,2007
1648,Chinstrap,Dream,45.9,17.1,190,3575,female,2007
1559,Chinstrap,Dream,50.5,19.6,201,4050,male,2007
4549,Chinstrap,Dream,50.3,20,197,3300,male,2007
2009,Chinstrap,Dream,58,17.8,181,3700,female,2007
3483,Chinstrap,Dream,46.4,18.6,190,3450,female,2007
3328,Chinstrap,Dream,49.2,18.2,195,4400,male,2007
1425,Chinstrap,Dream,42.4,17.3,181,3600,female,2007
2875,Chinstrap,Dream,48.5,17.5,191,3400,male,2007
2029,Chinstrap,Dream,43.2,16.6,187,2900,female,2007
4620,Chinstrap,Dream,50.6,19.4,193,3800,male,2007
1887,Chinstrap,Dream,46.7,17.9,195,3300,female,2007
2893,Chinstrap,Dream,52,19,197,4150,male,2007
4397,Chinstrap,Dream,50.5,18.4,200,3400,female,2008
2642,Chinstrap,Dream,49.5,19,200,3800,male,2008
3678,Chinstrap,Dream,46.4,17.8,191,3700,female,2008
3242,Chinstrap,Dream,52.8,20,205,4550,male,2008
1775,Chinstrap,Dream,40.9,16.6,187,3200,female,2008
3300,Chinstrap,Dream,54.2,20.8,201,4300,male,2008
2318,Chinstrap,Dream,42.5,16.7,187,3350,female,2008
3899,Chinstrap,Dream,51,18.8,203,4100,male,2008
3045,Chinstrap,Dream,49.7,18.6,195,3600,male,2008
2930,Chinstrap,Dream,47.5,16.8,199,3900,female,2008
4611,Chinstrap,Dream,47.6,18.3,195,3850,female,2008
1163,Chinstrap,Dream,52,20.7,210,4800,male,2008
2349,Chinstrap,Dream,46.9,16.6,192,2700,female,2008
2811,Chinstrap,Dream,53.5,19.9,205,4500,male,2008
1734,Chinstrap,Dream,49,19.5,210,3950,male,2008
2900,Chinstrap,Dream,46.2,17.5,187,3650,female,2008
1829,Chinstrap,Dream,50.9,19.1,196,3550,male,2008
3349,Chinstrap,Dream,45.5,17,196,3500,female,2008
2512,Chinstrap,Dream,50.9,17.9,196,3675,female,2009
3280,Chinstrap,Dream,50.8,18.5,201,4450,male,2009
4542,Chinstrap,Dream,50.1,17.9,190,3400,female,2009
2199,Chinstrap,Dream,49,19.6,212,4300,male,2009
3607,Chinstrap,Dream,51.5,18.7,187,3250,male,2009
4682,Chinstrap,Dream,49.8,17.3,198,3675,female,2009
1748,Chinstrap,Dream,48.1,16.4,199,3325,female,2009
2012,Chinstrap,Dream,51.4,19,201,3950,male,2009
4035,Chinstrap,Dream,45.7,17.3,193,3600,female,2009
3699,Chinstrap,Dream,50.7,19.7,203,4050,male,2009
2078,Chinstrap,Dream,42.5,17.3,187,3350,female,2009
2268,Chinstrap,Dream,52.2,18.8,197,3450,male,2009
1230,Chinstrap,Dream,45.2,16.6,191,3250,female,2009
3923,Chinstrap,Dream,49.3,19.9,203,4050,male,2009
4457,Chinstrap,Dream,50.2,18.8,202,3800,male,2009
1848,Chinstrap,Dream,45.6,19.4,194,3525,female,2009
3359,Chinstrap,Dream,51.9,19.5,206,3950,male,2009
3767,Chinstrap,Dream,46.8,16.5,189,3650,female,2009
1947,Chinstrap,Dream,45.7,17,195,3650,female,2009
4452,Chinstrap,Dream,55.8,19.8,207,4000,male,2009
2420,Chinstrap,Dream,43.5,18.1,202,3400,female,2009
4861,Chinstrap,Dream,49.6,18.2,193,3775,male,2009
4865,Chinstrap,Dream,50.8,19,210,4100,male,2009
4162,Chinstrap,Dream,50.2,18.7,198,3775,female,2009