id,age,sex,grade,race4,bmi,weight_kg,text_while_driving_30d,smoked_ever,bullied_past_12mo
335340,17 years old,Female,10th,White,27.5671,66.23,NA,NA,NA
638618,16 years old,Female,9th,NA,29.3495,84.82,NA,Yes,NA
922382,14 years old,Male,9th,White,18.1827,57.61,NA,Yes,FALSE
923122,15 years old,Male,9th,White,21.3754,60.33,NA,Yes,FALSE
923963,15 years old,Male,10th,Black or African American,19.5988,63.5,NA,No,TRUE
925603,16 years old,Male,10th,All other races,22.191,70.31,NA,No,TRUE
933724,16 years old,Female,10th,All other races,20.9913,45.36,NA,Yes,TRUE
935435,17 years old,Female,12th,All other races,17.4814,43.09,NA,No,FALSE
1096564,15 years old,Male,10th,All other races,22.4593,79.38,NA,NA,TRUE
1108114,17 years old,Female,9th,Black or African American,26.5781,68.04,NA,No,FALSE
1306150,16 years old,Male,10th,Hispanic/Latino,21.1874,67.13,0 days,NA,FALSE
1307481,17 years old,Male,12th,Hispanic/Latino,19.4637,56.25,1 or 2 days,No,FALSE
1307872,17 years old,Male,11th,Hispanic/Latino,20.6121,61.69,1 or 2 days,No,FALSE
1311617,15 years old,Female,10th,Hispanic/Latino,27.4648,70.31,0 days,No,TRUE
1313153,16 years old,Female,11th,Hispanic/Latino,26.5781,68.04,0 days,No,TRUE
1313291,16 years old,Female,11th,White,24.8047,63.5,3 to 5 days,No,FALSE
1313477,16 years old,Female,10th,All other races,25.0318,76.66,0 days,No,TRUE
1315121,17 years old,Female,11th,NA,22.2687,54.89,I did not drive the past 30 days,Yes,FALSE
1315850,17 years old,Female,12th,Hispanic/Latino,19.4922,49.9,0 days,NA,FALSE
1316123,18 years old or older,Female,12th,Black or African American,27.4894,74.84,All 30 days,Yes,FALSE